WindowStart	WindowStop	SNPcount	MeanY	Wstat	scaffold	var	WindowLength	color	WindowNumber
3275000	3295000	63	14.2846591334921	19.1216789176746	scaffold_11_arrow_ctg1	jan_depth	20000	Odd	199
12615000	12625000	40	17.010153592	19.0647033861	scaffold_11_arrow_ctg1	jan_depth	10000	Odd	789
21945000	21955000	24	19.3275138116667	17.2887107711855	scaffold_11_arrow_ctg1	jan_depth	10000	Odd	1399
21955000	21975000	39	16.6577600682051	18.3361463100914	scaffold_11_arrow_ctg1	jan_depth	20000	Odd	1400
63075000	63105000	19	25.4976196331579	21.3556676055089	scaffold_11_arrow_ctg1	jan_depth	30000	Odd	3940
84995000	85015000	109	10.149315483945	15.56347688077	scaffold_11_arrow_ctg1	jan_depth	20000	Odd	5297
85695000	85725000	82	12.6636783112195	18.5554885106102	scaffold_11_arrow_ctg1	jan_depth	30000	Odd	5339
85735000	85755000	80	12.659868120125	18.3202366901529	scaffold_11_arrow_ctg1	jan_depth	20000	Odd	5341
85765000	85775000	45	17.3657272182222	20.7509001508603	scaffold_11_arrow_ctg1	jan_depth	10000	Odd	5343
1655000	1675000	44	15.0790702745455	17.1504740106173	Super_Scaffold_6	jan_depth	20000	Even	5533
1965000	1975000	32	17.2319738278125	17.3306613704259	Super_Scaffold_6	jan_depth	10000	Even	5554
25915000	25935000	50	13.5144138358	15.8253736784637	Super_Scaffold_6	jan_depth	20000	Even	7026
51005000	51035000	46	14.9373288452174	17.3224282833804	Super_Scaffold_6	jan_depth	30000	Even	8498
7935000	7955000	34	18.3447258138235	19.3050085282275	Super_Scaffold_7	jan_depth	20000	Odd	11497
21045000	21065000	39	16.8566209228205	18.6119494549943	Super_Scaffold_7	jan_depth	20000	Odd	12308
18005000	18445000	46	15.1091289932609	17.581201937546	scaffold_17_arrow_ctg1	jan_depth	20000	Odd	22792
30345000	30355000	33	17.5198326739394	17.9666133538751	scaffold_17_arrow_ctg1	jan_depth	10000	Odd	23538
46445000	46465000	41	17.0953677126829	19.422718333759	scaffold_17_arrow_ctg1	jan_depth	20000	Odd	24558
22225000	22235000	19	25.63787668	21.4914423830579	scaffold_18_arrow_ctg1	jan_depth	10000	Even	27379
28655000	28665000	30	16.9398198203333	16.4249630886271	scaffold_18_arrow_ctg1	jan_depth	10000	Even	27771
28675000	28685000	26	17.9628150603846	16.4492600912566	scaffold_18_arrow_ctg1	jan_depth	10000	Even	27773
57915000	57945000	81	13.6522979559259	20.4180092040249	Super_Scaffold_11	jan_depth	30000	Odd	33289
14335000	14365000	85	14.4970493316471	22.6457236532407	Super_Scaffold_4	jan_depth	30000	Even	34302
14365000	14385000	49	15.6544454322449	18.9931906885861	Super_Scaffold_4	jan_depth	20000	Even	34303
60805000	60845000	45	14.3761107528889	16.2970116299076	Super_Scaffold_4	jan_depth	40000	Even	36691
67015000	67035000	35	18.1449733457143	19.3244000655959	Super_Scaffold_4	jan_depth	20000	Even	37020
67035000	67055000	35	18.6873440514286	20.0370034091614	Super_Scaffold_4	jan_depth	20000	Even	37021
67055000	67075000	31	17.0640972687097	16.8501390741278	Super_Scaffold_4	jan_depth	20000	Even	37022
75215000	75265000	31	16.2252864693548	15.8129391672243	Super_Scaffold_4	jan_depth	50000	Even	37415
122185000	122215000	67	12.9277760874627	17.2527824824085	Super_Scaffold_4	jan_depth	30000	Even	39827
157105000	157135000	53	15.6793834303774	19.7935361652664	Super_Scaffold_4	jan_depth	30000	Even	41663
160705000	160725000	47	19.486893673617	24.4365629924978	Super_Scaffold_4	jan_depth	20000	Even	41861
38375000	38425000	86	13.5830135839535	20.8960658244873	Super_Scaffold_5	jan_depth	50000	Odd	47160
55665000	55695000	73	12.3718355663014	16.9538432100477	Super_Scaffold_5	jan_depth	30000	Odd	48074
58685000	58715000	45	14.4277178515556	16.3738951589544	Super_Scaffold_5	jan_depth	30000	Odd	48214
110685000	110695000	30	17.0793435126667	16.5946804211257	Super_Scaffold_5	jan_depth	10000	Odd	50973
124435000	124465000	56	17.1070810582143	22.7187475087333	Super_Scaffold_5	jan_depth	30000	Odd	51722
142095000	142105000	44	14.9462567034091	16.954821060121	Super_Scaffold_5	jan_depth	10000	Odd	52655
1695000	1705000	38	16.4502088055263	17.8153993837348	scaffold_21_arrow_ctg1	jan_depth	10000	Even	54215
33455000	33495000	70	11.8298165871429	15.5947021974053	scaffold_2_arrow_ctg1	jan_depth	40000	Odd	58663
129695000	129715000	38	15.6430563289474	16.71039248104	scaffold_2_arrow_ctg1	jan_depth	20000	Odd	64058
129735000	129745000	26	21.3900229719231	20.3302698492681	scaffold_2_arrow_ctg1	jan_depth	10000	Odd	64061
131905000	131945000	54	13.434420315	16.3156630330181	scaffold_2_arrow_ctg1	jan_depth	40000	Odd	64176
149435000	149455000	44	16.6317257459091	19.4377524978774	scaffold_2_arrow_ctg1	jan_depth	20000	Odd	65180
149455000	149475000	48	15.768060481875	18.9731967297779	scaffold_2_arrow_ctg1	jan_depth	20000	Odd	65181
149475000	149495000	89	11.8041187360674	17.5303778534722	scaffold_2_arrow_ctg1	jan_depth	20000	Odd	65182
149545000	149565000	49	15.1967507330612	18.2816634478252	scaffold_2_arrow_ctg1	jan_depth	20000	Odd	65186
174765000	174785000	41	15.9302089970732	17.7658247144281	scaffold_2_arrow_ctg1	jan_depth	20000	Odd	66632
174785000	174805000	39	14.6969506338462	15.6166698721698	scaffold_2_arrow_ctg1	jan_depth	20000	Odd	66633
8815000	8835000	73	13.2002936484932	18.5258324832343	Super_Scaffold_1	jan_depth	20000	Even	68975
8835000	8855000	68	13.6441324504412	18.6929591021124	Super_Scaffold_1	jan_depth	20000	Even	68976
30115000	30145000	41	14.9487123687805	16.3701045614342	Super_Scaffold_1	jan_depth	30000	Even	70146
35285000	35315000	51	14.9026372841176	18.1845638872368	Super_Scaffold_1	jan_depth	30000	Even	70426
95965000	95995000	37	18.0465694540541	19.7359235199731	Super_Scaffold_1	jan_depth	30000	Even	73710
96015000	96025000	36	16.9854867402778	18.0534969805128	Super_Scaffold_1	jan_depth	10000	Even	73713
103305000	103325000	44	17.1185931484091	20.1549762197044	Super_Scaffold_1	jan_depth	20000	Even	74123
110205000	110225000	59	12.7869295376271	15.9497690265241	Super_Scaffold_1	jan_depth	20000	Even	74485
139605000	139635000	36	24.3283324044444	27.8378758140948	Super_Scaffold_1	jan_depth	30000	Even	76070
139635000	139645000	33	27.3118549387879	30.4590446952349	Super_Scaffold_1	jan_depth	10000	Even	76071
139645000	139665000	29	19.6765132806897	19.4218691870994	Super_Scaffold_1	jan_depth	20000	Even	76072
145655000	145685000	27	20.7010829766667	19.922522694354	Super_Scaffold_1	jan_depth	30000	Even	76403
145685000	145695000	11	32.4121247145455	21.3422427159516	Super_Scaffold_1	jan_depth	10000	Even	76404
145695000	145705000	11	27.7817389427273	17.9316400552423	Super_Scaffold_1	jan_depth	10000	Even	76405
146765000	146785000	29	20.7628743444828	20.7211134256645	Super_Scaffold_1	jan_depth	20000	Even	76460
146785000	146805000	21	19.7255776633333	16.5772246521674	Super_Scaffold_1	jan_depth	20000	Even	76461
146815000	146845000	32	17.968011428125	18.2553437861036	Super_Scaffold_1	jan_depth	30000	Even	76463
214805000	214825000	52	13.7875863953846	16.5762559750337	Super_Scaffold_1	jan_depth	20000	Even	80177
217265000	217295000	61	19.7776816316393	28.3435402219173	Super_Scaffold_1	jan_depth	30000	Even	80326
2965000	2985000	25	19.305781052	17.6210840318814	Super_Scaffold_3	jan_depth	20000	Odd	81862
81255000	81275000	16	26.8783920625	20.8238954354414	Super_Scaffold_3	jan_depth	20000	Odd	86339
134575000	134605000	97	11.8272322693814	18.3518641223338	Super_Scaffold_3	jan_depth	30000	Odd	89441
140845000	140865000	56	12.9118201073214	15.7465352160122	Super_Scaffold_3	jan_depth	20000	Odd	89800
145755000	145785000	112	10.7730842745536	17.2422544110114	Super_Scaffold_3	jan_depth	30000	Odd	90107
2925000	2945000	73	13.433324299726	18.9680053486286	Super_Scaffold_2	jan_depth	20000	Even	90704
98485000	98505000	44	16.3651006847727	19.0449765229433	Super_Scaffold_2	jan_depth	20000	Even	95755
98505000	98535000	52	14.1590609140385	17.1711619207443	Super_Scaffold_2	jan_depth	30000	Even	95756
67505000	67525000	31	22.0151156022581	22.9721343543314	Super_Scaffold_13	jan_depth	20000	Odd	102191
67525000	67535000	22	21.2336783668182	18.5382692629426	Super_Scaffold_13	jan_depth	10000	Odd	102192
67535000	67565000	34	18.9818461341176	20.130055214255	Super_Scaffold_13	jan_depth	30000	Odd	102193
68245000	68265000	40	15.263435697	16.6112920125384	Super_Scaffold_13	jan_depth	20000	Odd	102234
68265000	68285000	40	15.59973487875	17.0836523403204	Super_Scaffold_13	jan_depth	20000	Odd	102235
68285000	68295000	32	20.1142633675	20.9516753690439	Super_Scaffold_13	jan_depth	10000	Odd	102236
68295000	68305000	33	18.5934489169697	19.3363076662718	Super_Scaffold_13	jan_depth	10000	Odd	102237
68325000	68335000	32	19.477153265625	20.151275351702	Super_Scaffold_13	jan_depth	10000	Odd	102240
68335000	68355000	41	17.8060637258537	20.4333511975318	Super_Scaffold_13	jan_depth	20000	Odd	102241
