WCvar	po	la	no	ki	vl	ya	tu	og	ka	to	ur	cr	ba	ca
x	24.2638875	24.5147833333333	10.728775	49.6	137.016325	131.7842	96.5333	101.9	109.65835	108.675	59.8856833333333	22.8500333333333	20.9339444444444	41.9372947378571
y	52.8886625	57.0745	61.7207875	60.5166307692308	46.05505	62.43085	51.4833	43.225	48.508325	47.5143	55.2547666666667	47.5942833333333	41.7955222222222	45.2054819685714
bio1	68	57.4	25.625	11.9230769230769	20.4	-113.5	-61	36	-32.75	-34	15	80	79.6666666666667	90.2307692307692
bio2	85.375	69	74.375	83.8461538461538	95	116.375	142	139	140	137	101.333333333333	90.1666666666667	97.2222222222222	95.7692307692308
bio3	26.875	22.8	26.25	19.4615384615385	22.6	16.25	24	29	26.5	25	22.1666666666667	29	33.4444444444444	27.7692307692308
bio4	8163.25	8142.4	7182.625	11174.3846153846	11391.2	21020.625	16488	11872	14272	15053	12333.5	7665.83333333333	6652.11111111111	8943.53846153846
bio5	231.875	212	175.375	227.153846153846	222.4	234.125	217	262	219	223.5	243.833333333333	236.5	235.444444444444	273.846153846154
bio6	-81.375	-84.4	-102.875	-193.230769230769	-198	-451.375	-367	-205	-303.75	-312.5	-204.833333333333	-68	-53.1111111111111	-70.4615384615385
bio7	313.25	296.4	278.25	420.384615384615	420.4	685.5	584	467	522.75	536	448.666666666667	304.5	288.555555555556	344.307692307692
bio8	168.75	152.2	91.625	154.384615384615	159.4	143.5	132	184	142.25	149	167	165.666666666667	28.4444444444444	183.615384615385
bio9	-31.125	-35.4	-12.875	-70.4615384615385	-135.4	-325	-257	-104	-225.5	-238	-129.666666666667	-10.1666666666667	162.111111111111	-11.2307692307692
bio10	168.75	160.8	119.625	154.384615384615	159.4	143.5	132	184	142.25	149	167	173.333333333333	162.777777777778	203.230769230769
bio11	-40	-46.8	-65.25	-135.769230769231	-135.4	-389.875	-289	-121	-225.5	-238	-148.166666666667	-23.5	-6.77777777777778	-24.3076923076923
bio12	600.625	646.6	868.875	608.076923076923	856.8	290.75	348	115	361	298.5	542.666666666667	696	889.555555555556	681.384615384615
bio13	79	79.2	105.75	80	141.6	51.25	88	35	104.5	94	96.3333333333333	101	106.777777777778	83.9230769230769
bio14	29.125	27.2	43.75	26.1538461538462	19.8	7.375	4	0	2.5	2	20.5	35	48.4444444444444	33.3076923076923
bio15	29.5	30.8	28.125	32.3846153846154	61.6	63.75	86	116	114.5	118.5	47.5	37.3333333333333	23.1111111111111	24.8461538461538
bio16	216.125	224	290.375	212.846153846154	401.2	144.5	206	83	257.75	218.5	229.666666666667	273.166666666667	286.555555555556	231
bio17	100.125	98.4	144.375	89.6153846153846	68	26	18	2	8.5	7	68.6666666666667	110	155.777777777778	114
bio18	216.125	212.2	260.5	212.846153846154	401.2	144.5	206	83	257.75	218.5	229.666666666667	265.833333333333	158	222
bio19	111.375	115.4	187.375	107	68	31.375	20	2	8.5	7	78.5	118.333333333333	252.444444444444	140.384615384615
