pop	ca	ki	la	mo	tu	ur	vl	ya
bio1	63.03	11.88	56.15	-41.2	-69.37	9.92	6.3	-120.6
bio2	107.72	84.31	69.99	138.01	140.07	104.76	98.81	117.3
bio3	32.89	19.75	22.81	25.7	23.82	22.56	21.17	16.02
bio4	7569.45	11038.44	8226.11	14545.64	16235.49	12424.65	12814	21777.41
bio5	231.81	225.13	212.23	212.83	205.01	241.38	222.3	236.74
bio6	-91.48	-191.25	-87.43	-315.48	-370.13	-212.81	-236.09	-470.43
bio7	323.3	416.38	299.65	528.31	575.13	454.2	458.39	707.17
bio8	112.31	152.81	149.92	136.77	121.48	162.6	156	144.87
bio9	-29.95	-71.63	-42.07	-238.1	-265.26	-136.67	-170.17	-345.79
bio10	156.97	152.81	160.03	136.77	121.48	162.6	159.01	144.87
bio11	-36.13	-134.06	-50.11	-238.1	-292.66	-154.58	-170.17	-407.58
bio12	752.58	607.56	659.08	379.17	385.6	576.14	812.27	294.98
bio13	110.25	79.88	79.56	109.81	95.02	98.76	154.07	53.68
bio14	30.34	26.56	28.31	2.82	4.93	22.84	14.97	6.66
bio15	41.02	31.56	29.61	113.25	85.67	44.34	68.78	67.24
bio16	292.92	211.69	227.89	268.94	224.9	237.03	400.97	151.89
bio17	102.92	89.63	100.81	9.4	21.38	76.46	52.74	23.57
bio18	246.62	211.69	217.95	268.94	224.9	237.03	398.38	151.89
bio19	109.88	109.44	118.99	9.4	22.43	86.56	52.74	28.62
