"sample"	"biome_n"
"c_ll_po_0001"	4
"c_ll_po_0002"	4
"c_ll_po_0003"	4
"c_ll_po_0011"	4
"c_ll_po_0014"	4
"c_ll_po_0019"	4
"c_ll_po_0105"	4
"c_ll_po_0106"	4
"c_ll_po_0150"	4
"c_ll_la_0044"	4
"c_ll_la_0045"	4
"c_ll_la_0047"	4
"c_ll_la_0048"	4
"c_ll_la_0052"	4
"c_ll_la_0053"	4
"c_ll_la_0054"	4
"c_ll_no_0065"	11
"c_ll_no_0065"	6
"c_ll_no_0075"	11
"c_ll_no_0075"	6
"c_ll_no_0076"	6
"c_ll_no_0077"	6
"c_ll_no_0077"	11
"c_ll_no_0078"	11
"c_ll_no_0078"	6
"c_ll_no_0079"	11
"c_ll_no_0079"	6
"c_ll_no_0079"	4
"c_ll_no_0080"	11
"c_ll_no_0080"	6
"c_ll_no_0081"	11
"c_ll_no_0081"	6
"c_ll_no_0082"	11
"c_ll_no_0082"	6
"c_ll_ki_0090"	6
"c_ll_ki_0091"	6
"c_ll_ki_0092"	6
"c_ll_ki_0093"	6
"c_ll_ki_0094"	6
"c_ll_ki_0095"	6
"c_ll_ki_0096"	6
"c_ll_ki_0097"	6
"c_ll_ki_0098"	6
"c_ll_ki_0099"	6
"c_ll_ki_0100"	6
"c_ll_ki_0101"	6
"c_ll_ki_0102"	6
"c_ll_vl_0107"	4
"c_ll_vl_0108"	4
"c_ll_vl_0109"	6
"c_ll_vl_0109"	4
"c_ll_vl_0110"	6
"c_ll_vl_0110"	4
"c_ll_vl_0110"	9
"c_ll_vl_0112"	6
"c_ll_vl_0112"	4
"c_ll_vl_0113"	6
"c_ll_vl_0113"	4
"c_ll_vl_0114"	4
"c_ll_vl_0114"	6
"c_ll_vl_0128"	6
"c_ll_vl_0128"	4
"c_ll_vl_0132"	6
"c_ll_vl_0132"	4
"c_ll_vl_0137"	6
"c_ll_vl_0137"	11
"c_ll_ya_0138"	6
"c_ll_ya_0139"	6
"c_ll_ya_0140"	6
"c_ll_ya_0141"	6
"c_ll_ya_0142"	6
"c_ll_ya_0143"	6
"c_ll_ya_0145"	6
"c_ll_ya_0146"	6
"c_ll_ya_0147"	6
"c_ll_tu_0153"	5
"c_ll_tu_0154"	5
"c_ll_tu_0157"	5
"c_ll_tu_0158"	5
"c_ll_tu_0159"	5
"c_ll_tu_0165"	5
"c_ll_tu_0166"	5
"c_ll_og_0181"	13
"c_ll_ka_0184"	6
"c_ll_ka_0186"	6
"c_ll_og_0187"	8
"c_ll_ka_0188"	6
"c_ll_ka_0188"	8
"c_ll_ka_0189"	6
"c_ll_to_0190"	8
"c_ll_to_0191"	6
"c_ll_to_0191"	8
"c_ll_ur_0194"	4
"c_ll_ur_0194"	6
"c_ll_ur_0195"	6
"c_ll_ur_0195"	8
"c_ll_ur_0196"	6
"c_ll_ur_0196"	8
"c_ll_ur_0199"	4
"c_ll_ur_0199"	6
"c_ll_ur_0200"	6
"c_ll_ur_0200"	4
"c_ll_ur_0200"	8
"c_ll_ur_0202"	6
"c_ll_ur_0202"	8
"c_ll_ur_0203"	4
"c_ll_ur_0203"	6
"c_ll_cr_0205"	4
"c_ll_cr_0205"	5
"c_ll_cr_0206"	5
"c_ll_cr_0207"	4
"c_ll_cr_0208"	4
"c_ll_cr_0208"	5
"c_ll_cr_0209"	4
"c_ll_cr_0212"	4
"c_ll_cr_0212"	5
"h_ll_ba_0214"	4
"h_ll_ba_0215"	4
"c_ll_ba_0216"	4
"c_ll_ba_0224"	4
"c_ll_ba_0224"	12
"c_ll_ba_0226"	4
"c_ll_ba_0226"	12
"c_ll_ba_0227"	4
"c_ll_ba_0227"	12
"c_ll_ba_0228"	4
"c_ll_ba_0229"	4
"c_ll_ba_0229"	12
"c_ll_ba_0230"	4
"c_ll_ba_0230"	12
"c_ll_ca_0240"	4
"c_ll_ca_0241"	8
"c_ll_ca_0241"	13
"c_ll_ca_0241"	4
"c_ll_ca_0242"	4
"c_ll_ca_0242"	8
"c_ll_ca_0243"	4
"c_ll_ca_0243"	13
"c_ll_ca_0244"	4
"c_ll_ca_0245"	8
"c_ll_ca_0245"	4
"c_ll_ca_0247"	4
"c_ll_ca_0247"	13
"c_ll_ca_0248"	4
"c_ll_ca_0248"	8
"c_ll_ca_0252"	4
"c_ll_ca_0252"	8
"c_ll_ca_0254"	4
"c_ll_ca_0259"	4
"c_ll_ca_0259"	8
"c_ll_ca_0260"	4
"c_ll_ca_0260"	8
"c_ll_ca_0260"	13
