WindowStart	WindowStop	SNPcount	MeanY	Wstat	scaffold	var	WindowLength	color	WindowNumber
36075000	36085000	26	21.5555475019231	16.9749317744867	scaffold_11_arrow_ctg1	bio4	10000	Odd	2244
50835000	50855000	28	20.0083648478571	15.6659667520781	scaffold_11_arrow_ctg1	bio4	20000	Odd	3153
60865000	60885000	36	19.5887762608333	17.1639750303016	scaffold_11_arrow_ctg1	bio4	20000	Odd	3773
60905000	60935000	47	18.0948209670213	17.1725253402116	scaffold_11_arrow_ctg1	bio4	30000	Odd	3776
60935000	60945000	54	18.8005791996296	19.642089303281	scaffold_11_arrow_ctg1	bio4	10000	Odd	3777
60945000	60955000	43	17.9832860206977	16.2513504422982	scaffold_11_arrow_ctg1	bio4	10000	Odd	3778
77075000	77095000	23	22.2500757730435	16.7588561855924	scaffold_11_arrow_ctg1	bio4	20000	Odd	4784
15745000	15765000	47	17.1532974095745	15.6352948400607	Super_Scaffold_6	bio4	20000	Even	6386
21605000	21625000	16	23.863598196875	15.5149231019184	Super_Scaffold_6	bio4	20000	Even	6753
34865000	34915000	60	16.6584651608333	16.7529426814595	Super_Scaffold_6	bio4	50000	Even	7564
92755000	92775000	47	21.4568214931915	22.6616814101534	Super_Scaffold_6	bio4	20000	Even	11132
92805000	92825000	50	16.6939937364	15.3531047196153	Super_Scaffold_6	bio4	20000	Even	11136
23435000	23455000	67	20.3894555128358	24.9763590525636	Super_Scaffold_7	bio4	20000	Odd	12651
57925000	57945000	47	20.2029069668085	20.6144085200674	Super_Scaffold_7	bio4	20000	Odd	14729
3595000	3605000	44	20.6251222213636	20.6126440080651	Super_Scaffold_8	bio4	10000	Even	16536
4095000	4135000	103	14.0788015171845	15.7149190104862	Super_Scaffold_8	bio4	40000	Even	16565
4355000	4365000	39	20.3549810138462	19.0043885262069	Super_Scaffold_8	bio4	10000	Even	16580
35575000	35605000	47	19.6410348895745	19.6970370029387	Super_Scaffold_8	bio4	30000	Even	18484
35605000	35625000	32	22.7986753396875	20.5067446902813	Super_Scaffold_8	bio4	20000	Even	18485
35635000	35665000	43	21.8941125974419	22.3588248891251	Super_Scaffold_8	bio4	30000	Even	18487
35665000	35675000	22	21.3439020022727	15.3782488743678	Super_Scaffold_8	bio4	10000	Even	18488
35675000	35695000	35	20.0622062611429	17.5909426854801	Super_Scaffold_8	bio4	20000	Even	18489
35705000	35745000	94	20.5229614889362	29.8921800727592	Super_Scaffold_8	bio4	40000	Even	18491
35745000	35755000	22	24.7129251222727	19.1415953575391	Super_Scaffold_8	bio4	10000	Even	18492
35755000	35765000	41	22.9709664304878	23.4747912807711	Super_Scaffold_8	bio4	10000	Even	18493
35765000	35775000	22	23.3207737918182	17.5865013059707	Super_Scaffold_8	bio4	10000	Even	18494
37935000	37955000	48	17.18863417875	15.8590573745666	Super_Scaffold_8	bio4	20000	Even	18613
17655000	18355000	69	15.3180936352174	15.3139258721365	scaffold_17_arrow_ctg1	bio4	10000	Odd	23144
22985000	23015000	32	20.6491890121875	17.6109447880912	scaffold_17_arrow_ctg1	bio4	30000	Odd	23429
34325000	34345000	40	17.64820545025	15.1694886129361	scaffold_17_arrow_ctg1	bio4	20000	Odd	24150
46615000	46635000	54	18.2861760744444	18.741847136238	scaffold_17_arrow_ctg1	bio4	20000	Odd	24936
54435000	54455000	40	18.535093792	16.5053389817673	scaffold_17_arrow_ctg1	bio4	20000	Odd	25425
38905000	38925000	31	23.1163575196774	20.605026525983	scaffold_18_arrow_ctg1	bio4	20000	Even	28764
7845000	7855000	35	19.762271328	17.168351975306	Super_Scaffold_11	bio4	10000	Odd	30612
95515000	95555000	26	20.8181413415385	16.0794591606893	Super_Scaffold_4	bio4	40000	Even	39230
107425000	107455000	62	16.9145942764516	17.5101707811778	Super_Scaffold_4	bio4	30000	Even	39862
107455000	107475000	45	17.0438757911111	15.1242018304674	Super_Scaffold_4	bio4	20000	Even	39863
107575000	107615000	49	16.9557653522449	15.6351929426089	Super_Scaffold_4	bio4	40000	Even	39873
201095000	201105000	40	17.98404237275	15.6753334365399	Super_Scaffold_4	bio4	10000	Even	45131
204745000	204765000	46	17.6809539128261	16.3203609459636	Super_Scaffold_4	bio4	20000	Even	45342
219395000	219425000	89	25.8079407365169	40.9603157609702	Super_Scaffold_4	bio4	30000	Even	46210
219425000	219435000	32	25.2944368134375	23.8690483900591	Super_Scaffold_4	bio4	10000	Even	46211
63225000	63235000	88	14.7041732686364	15.9227617434204	Super_Scaffold_5	bio4	10000	Odd	49992
141105000	141145000	49	18.1283304928571	17.5899549602333	Super_Scaffold_5	bio4	40000	Odd	54619
8065000	8105000	39	17.8739008964103	15.3143409557719	scaffold_21_arrow_ctg1	bio4	40000	Even	56858
34405000	34435000	134	13.563438710597	16.5036820874096	scaffold_21_arrow_ctg1	bio4	30000	Even	58477
40565000	40575000	24	22.5462833825	17.4648925634112	scaffold_21_arrow_ctg1	bio4	10000	Even	58862
72235000	72275000	46	17.2890597993478	15.6873568372987	scaffold_2_arrow_ctg1	bio4	40000	Odd	63091
55595000	55605000	33	19.3798502348485	16.1474245910155	Super_Scaffold_1	bio4	10000	Even	74102
55605000	55625000	46	18.8823237963043	18.2608648885169	Super_Scaffold_1	bio4	20000	Even	74103
55625000	55665000	82	16.5023173236585	19.2482016568201	Super_Scaffold_1	bio4	40000	Even	74104
79875000	79895000	58	18.8928091481034	20.5238594616495	Super_Scaffold_1	bio4	20000	Even	75532
118035000	118065000	55	18.293293198	18.9271569795432	Super_Scaffold_1	bio4	30000	Even	77675
125565000	125605000	72	17.6220873376389	20.299224934206	Super_Scaffold_1	bio4	40000	Even	78090
158015000	158045000	28	20.9584367571429	16.8632429980209	Super_Scaffold_1	bio4	30000	Even	79930
159725000	159765000	97	15.8614066023711	19.4315254255289	Super_Scaffold_1	bio4	40000	Even	80024
160855000	160875000	30	21.0355140046667	17.5556563957381	Super_Scaffold_1	bio4	20000	Even	80088
187775000	187805000	49	17.3813036873469	16.3446001607582	Super_Scaffold_1	bio4	30000	Even	81600
204015000	204035000	73	17.0000268812329	19.1739412149627	Super_Scaffold_1	bio4	20000	Even	82527
204085000	204095000	39	17.9095638389744	15.3673815462947	Super_Scaffold_1	bio4	10000	Even	82531
215885000	215905000	49	17.0991842228571	15.8742839330992	Super_Scaffold_1	bio4	20000	Even	83215
224625000	224665000	88	15.2947377193182	17.2421344929665	Super_Scaffold_1	bio4	40000	Even	83730
58145000	58175000	60	17.9639299765	19.161182148849	Super_Scaffold_3	bio4	30000	Odd	88100
58185000	58215000	57	18.6372378259649	19.8866361293193	Super_Scaffold_3	bio4	30000	Odd	88102
60335000	60365000	47	17.7485024057447	16.6070891905242	Super_Scaffold_3	bio4	30000	Odd	88224
99955000	99965000	27	20.8979457507407	16.4845190400878	Super_Scaffold_3	bio4	10000	Odd	90499
121145000	121175000	83	15.6405747246988	17.4954977815389	Super_Scaffold_3	bio4	30000	Odd	91795
138675000	138695000	54	18.1736757751852	18.5449635866645	Super_Scaffold_3	bio4	20000	Odd	92872
142265000	142275000	24	21.24063519875	15.9415742516472	Super_Scaffold_3	bio4	10000	Odd	93095
145995000	146015000	47	18.4403461291489	17.7366661029054	Super_Scaffold_3	bio4	20000	Odd	93332
97285000	97305000	51	17.5721199368627	16.9993608008926	Super_Scaffold_2	bio4	20000	Even	99263
106075000	106145000	40	17.8475003795	15.4696709382776	Super_Scaffold_2	bio4	70000	Even	99776
123655000	123685000	53	19.2988437883019	20.3232550078934	Super_Scaffold_2	bio4	30000	Even	100794
18535000	18565000	51	17.9594497503922	17.6581172619258	Super_Scaffold_13	bio4	30000	Odd	103272
26845000	26855000	64	15.94477979125	15.9426254892849	Super_Scaffold_13	bio4	10000	Odd	103755
45075000	45115000	103	16.4508293333981	21.4481212639435	Super_Scaffold_13	bio4	40000	Odd	104846
53985000	54005000	68	16.4678766789706	17.4605778990073	Super_Scaffold_13	bio4	20000	Odd	105380
54015000	54035000	84	16.075735432619	18.5504118390505	Super_Scaffold_13	bio4	20000	Odd	105382
54415000	54425000	75	19.0514999817333	23.66594304561	Super_Scaffold_13	bio4	10000	Odd	105407
129105000	129115000	40	18.1745697205	15.9623098413284	Super_Scaffold_13	bio4	10000	Odd	109871
135545000	135575000	109	15.2652528794495	19.1161569936735	Super_Scaffold_13	bio4	30000	Odd	110262
17905000	17925000	47	16.9066540497872	15.232598919894	Super_Scaffold_9	bio4	20000	Even	111755
24595000	24615000	44	19.0896034829545	18.1869258910545	Super_Scaffold_9	bio4	20000	Even	112165
42115000	42145000	65	21.8079697612308	27.3243904880751	Super_Scaffold_9	bio4	30000	Even	113232
46325000	46345000	168	12.9168392250595	16.4832504357255	Super_Scaffold_9	bio4	20000	Even	113483
46365000	46395000	238	14.6000470852101	25.8032146451143	Super_Scaffold_9	bio4	30000	Even	113486
46395000	46415000	115	14.3363583994783	17.2629171262971	Super_Scaffold_9	bio4	20000	Even	113487
67925000	67935000	27	19.9610328855556	15.3251012563225	Super_Scaffold_9	bio4	10000	Even	114723
77015000	77035000	41	20.6270809641463	19.9005226678153	Super_Scaffold_9	bio4	20000	Even	115268
77035000	77065000	46	19.0403434228261	18.5161049378001	Super_Scaffold_9	bio4	30000	Even	115269
97955000	97975000	32	21.0746771234375	18.1841647314689	Super_Scaffold_9	bio4	20000	Even	116476
130035000	130115000	172	16.1520592357558	26.7831065349598	Super_Scaffold_9	bio4	80000	Even	118418
19005000	19025000	57	16.2605876587719	15.6133540560712	Super_Scaffold_12	bio4	20000	Odd	120188
37325000	37365000	36	18.9694114736111	16.2789477981133	Super_Scaffold_12	bio4	40000	Odd	121240
106165000	106225000	167	18.0386742138323	32.1972584121661	Super_Scaffold_12	bio4	60000	Odd	125218
146015000	146035000	35	19.7176647511429	17.1055039275812	Super_Scaffold_12	bio4	20000	Odd	127572
56205000	56225000	41	18.5377781846341	16.7144756296774	Super_Scaffold_14	bio4	20000	Even	131749
56945000	56975000	52	19.4818613475	20.4449196295442	Super_Scaffold_14	bio4	30000	Even	131788
56975000	56995000	42	22.4730997466667	22.9909282688829	Super_Scaffold_14	bio4	20000	Even	131789
70615000	70655000	48	18.1469756122917	17.440304528214	Super_Scaffold_14	bio4	40000	Even	132621
